COMMUNE DE PLAISANCE DU TOUCH	COMMUNE DE PLAISANCE-DU-TOUCH	100
COMMUNAUTÉ D'AGGLOMÉRATION ÉVRY CENTRE ESSONNE	COMMUNAUTÉ D’AGGLOMÉRATION ÉVRY CENTRE ESSONNE	100
COLLECTIVITÉ DE SAINT MARTIN	COLLECTIVITÉ DE SAINT-MARTIN	100
LA POSTE – BRANCHE SERVICES-COURRIER-COLIS	LA POSTE — BRANCHE SERVICES-COURRIER-COLIS	100
GECT — EURORÉGION AQUITAINE-EUSKADI	GECT EURORÉGION AQUITAINE EUSKADI	97
ÉLECTRICITE DE FRANCE	ÉLECTRICITÉ DE FRANCE	97
INSTITUT GÉOGRAPHIQUE NATIONAL	INSTITUT GEOGRAPHIQUE NATIONAL	98
COMMUNAUTÉ D'AGGLOMÉRATION DE LA PORTE DU HAINAUT	COMMUNAUTÉ D'AGGLOMÉRATION LA PORTE DU HAINAUT	97
COMMUNAUTÉ D’AGGLOMÉRATION CREILLOISE	COMMUNAUTÉ DE L'AGGLOMÉRATION CREILLOISE	96
CHI VILLENEUVE-SAINT GEORGES	CHI VILLENEUVE-SAINT-GEORGES	100
COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES DE FONTENAY-AUX-ROSES	COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES (CEA) — FONTENAY-AUX-ROSES	96
CHD LA ROCHE-SUR-YON - LUÇON - MONTAIGU	CHD LA ROCHE-SUR-YON — LUÇON — MONTAIGU	100
VILLE DE PETIT-COURONNE	VILLE DE PETIT COURONNE	100
MINISTÈRE CHARGÉ DES TRANSPORTS-DGAC	MINISTÈRE CHARGÉ DES TRANSPORTS — DGAC	97
CNRS DÉLÉGATION ALPES	CNRS DÉLEGATION ALPES	97
ÉCOLE NATIONALE SUPÉRIEURE DE CHIMIE DE MONTPELLIER	ÉCOLE NATIONALE SUPÉRIEURE DE CHIMIE MONTPELLIER	97
GIE GROUPE SNI SYSTEMES D'INFORMATION	GIE GROUPE SNI SYSTÈMES D'INFORMATION	99
EDF SA — DIRECTION DES ACHATS GROUPE — DATP — ANAPRI	EDF SA — DIRECTION DES ACHATS GROUPE — DAPI — ANAP	96
COMMUNE DE LA PLAGNE-TARENTAISE	COMMUNE DE LA PLAGNE TARENTAISE	100
DÉPARTEMENT DE LA HAUTE SAÔNE	DÉPARTEMENT DE LA HAUTE-SAÔNE	100
GIE GROUPE SNI TERRITOIRE MIDI-PYRÉNÉES ET LANGUEDOC-ROUSSILLON AU NOM ET POUR LE COMPTE DU NOUVEAU LOGIS MÉRIDIONAL	GIE GROUPE SNI TERRITOIRE MIDI-PYRÉNÉES ET LANGUEDOC-ROUSSILLON AU NOM ET POUR LE COMPTE DU NOUVEAU LOGIS MERIDIONAL	100
ERDF ÉLECTRICITÉ RÉSEAU DISTRIBUTION FRANCE	ERDF, ÉLECTRICITÉ RÉSEAU DISTRIBUTION FRANCE	99
IFP ÉNERGIES NOUVELLES	IFP ENERGIES NOUVELLES	98
SA HLM — PICARDIE HABITAT	SA HLM PICARDIE HABITAT	96
CDC DE LA HAUTE SAINTONGE	CDC DE LA HAUTE-SAINTONGE	100
CCAS — MAISON DE RETRAITE	CCAS-MAISON DE RETRAITE	96
SA HLM LE FOYER RÉMOIS	SA HLM LE FOYER REMOIS	98
INRA ANGERS-NANTES	INRA ANGERS NANTES	100
COMMUNAUTÉ D'AGGLOMÉRATION TOUR(S)PLUS	COMMUNAUTÉ D'AGGLOMÉRATION TOUR(S) PLUS	99
SOC TRANSPORTS EN COMMUN LIMOGES METRO	SOC TRANSPORTS EN COMMUN LIMOGES MÉTRO	99
CENTRE DE GESTION DE LA FPT 77	CENTRE DE GESTION DE LA FPT 76	97
GRAND LYON HABITAT	GRANDLYON HABITAT	97
UNIVERSITÉ TOULOUSE II — JEAN JAURES	UNIVERSITE TOULOUSE II — JEAN JAURES	99
COMMUNAUTÉ AGGLOMERATION BOURGES PLUS	COMMUNAUTÉ AGGLOMÉRATION BOURGES PLUS	99
UNIVERSITÉ PARIS-EST MARNE-LA-VALLÉE	UNIVERSITÉ PARIS EST MARNE-LA-VALLÉE	100
COMMUNAUTÉ DE COMMUNES DU PAYS DE BRAY	COMMUNAUTÉ DE COMMUNES DU PAYS DE NAY	96
CNRS — DÉLÉGATION CENTRE LIMOUSIN POITOU CHARENTES	CNRS — DÉLÉGATION CENTRE LIMOUSIN POITOU-CHARENTES	100
